epoch,step,train_loss,val_loss
0,49,0.7731788754463196,
0,99,0.20314206182956696,
0,149,2.1815431118011475,
0,199,0.47159940004348755,
0,239,,0.3356366753578186
1,249,0.13764479756355286,
1,299,0.33173298835754395,
1,349,0.15495316684246063,
1,399,0.3440404534339905,
1,449,2.263174057006836,
1,479,,0.20957720279693604
2,499,0.46305331587791443,
2,549,0.4845055937767029,
2,599,0.3703996539115906,
2,649,1.658065915107727,
2,699,0.23414282500743866,
2,719,,0.2180272787809372
3,749,0.3049103021621704,
3,799,0.1575005054473877,
3,849,0.4797537326812744,
3,899,0.3099607229232788,
3,949,0.2706964612007141,
3,959,,0.34215593338012695
4,999,0.2933594584465027,
4,1049,0.19723811745643616,
4,1099,0.4194466173648834,
4,1149,0.9799215197563171,
4,1199,0.499819278717041,
4,1199,,0.29880040884017944
5,1249,0.1951354742050171,
5,1299,0.4286622107028961,
5,1349,0.5655023455619812,
5,1399,0.26242613792419434,
5,1439,,0.27682265639305115
6,1449,0.2149766981601715,
6,1499,0.8627749085426331,
6,1549,1.3253194093704224,
6,1599,0.5238903164863586,
6,1649,0.11560295522212982,
6,1679,,0.1999361515045166
7,1699,1.2484551668167114,
7,1749,0.3226699233055115,
7,1799,1.2530745267868042,
7,1849,0.19219781458377838,
7,1899,0.15328243374824524,
7,1919,,0.5797064304351807
8,1949,0.7421779632568359,
8,1999,0.39906227588653564,
8,2049,0.3163592219352722,
8,2099,0.14222103357315063,
8,2149,0.5808768272399902,
8,2159,,0.36941516399383545
9,2199,0.2900451719760895,
9,2249,0.14256681501865387,
9,2299,0.31770068407058716,
9,2349,0.31959283351898193,
9,2399,0.19295714795589447,
9,2399,,0.3272221088409424
10,2449,1.1684213876724243,
10,2499,1.396605134010315,
10,2549,0.45807576179504395,
10,2599,0.18477512896060944,
10,2639,,0.18513223528862
11,2649,0.10361697524785995,
11,2699,0.17738792300224304,
11,2749,0.32476377487182617,
11,2799,0.11194336414337158,
11,2849,0.48522019386291504,
11,2879,,0.22761526703834534
12,2899,0.3348485827445984,
12,2949,0.0919739305973053,
12,2999,0.8654446005821228,
12,3049,0.15301308035850525,
12,3099,0.45648708939552307,
12,3119,,0.19412122666835785
13,3149,0.2278815358877182,
13,3199,0.23483172059059143,
13,3249,0.19292306900024414,
13,3299,0.08272305130958557,
13,3349,0.15290790796279907,
13,3359,,0.5696190595626831
14,3399,0.1729324609041214,
14,3449,0.12838801741600037,
14,3499,0.1698000729084015,
14,3549,0.29512009024620056,
14,3599,1.8416329622268677,
14,3599,,0.29918012022972107
15,3649,0.10004015266895294,
15,3699,0.1555635929107666,
15,3749,0.17248961329460144,
15,3799,0.134629487991333,
15,3839,,0.7995630502700806
