epoch,step,train_loss,val_loss
0,49,0.2826828956604004,
0,99,0.42836570739746094,
0,149,1.808093786239624,
0,199,0.46956056356430054,
0,239,,0.2898435890674591
1,249,0.8291741013526917,
1,299,0.16281914710998535,
1,349,0.33351579308509827,
1,399,0.2271667718887329,
1,449,0.19913457334041595,
1,479,,0.4007507264614105
2,499,0.6020233631134033,
2,549,0.17239193618297577,
2,599,0.18923887610435486,
2,649,0.14663809537887573,
2,699,0.22415827214717865,
2,719,,0.5053886771202087
3,749,0.5767634510993958,
3,799,0.3913930356502533,
3,849,0.5581216812133789,
3,899,0.9591745734214783,
3,949,0.22164000570774078,
3,959,,0.2802446484565735
4,999,0.7205708026885986,
4,1049,0.2876943051815033,
4,1099,0.1401766687631607,
4,1149,0.25564372539520264,
4,1199,0.5569915175437927,
4,1199,,0.4658069610595703
5,1249,1.3667314052581787,
5,1299,0.49799221754074097,
5,1349,0.2814365029335022,
5,1399,0.3744558095932007,
5,1439,,0.3087042272090912
6,1449,0.587701678276062,
6,1499,0.45135390758514404,
6,1549,0.298923134803772,
6,1599,1.1679084300994873,
6,1649,0.4165303707122803,
6,1679,,0.6143209338188171
7,1699,0.21930000185966492,
7,1749,0.210809588432312,
7,1799,0.9882743954658508,
7,1849,0.281709760427475,
7,1899,0.18467594683170319,
7,1919,,0.22638723254203796
8,1949,0.7291257381439209,
8,1999,3.2298407554626465,
8,2049,0.21256908774375916,
8,2099,0.4864049553871155,
8,2149,0.19247150421142578,
8,2159,,0.30283790826797485
9,2199,0.3012511730194092,
9,2249,0.1771148145198822,
9,2299,0.1871572732925415,
9,2349,0.3205350637435913,
9,2399,0.4662339389324188,
9,2399,,0.2990001440048218
10,2449,0.25945407152175903,
10,2499,0.23866139352321625,
10,2549,0.7196903824806213,
10,2599,0.6286026239395142,
10,2639,,0.5448704957962036
11,2649,0.17723003029823303,
11,2699,1.3860580921173096,
11,2749,0.519544780254364,
11,2799,0.13406851887702942,
11,2849,2.0408823490142822,
11,2879,,0.41108641028404236
12,2899,0.5991269946098328,
12,2949,0.18084479868412018,
12,2999,0.2991212010383606,
12,3049,0.2670023441314697,
12,3099,0.2534026503562927,
12,3119,,0.22532205283641815
13,3149,0.5791869759559631,
13,3199,0.48854953050613403,
13,3249,0.9008649587631226,
13,3299,0.44310876727104187,
13,3349,1.365859866142273,
13,3359,,0.2718144357204437
14,3399,0.5093595385551453,
14,3449,0.1037808507680893,
14,3499,0.6881186366081238,
14,3549,0.6628372669219971,
14,3599,0.5703451037406921,
14,3599,,0.36806684732437134
15,3649,0.19196835160255432,
15,3699,0.25793367624282837,
15,3749,0.6778424382209778,
15,3799,0.3610665202140808,
15,3839,,0.28585943579673767
16,3849,0.2265932261943817,
16,3899,0.16585424542427063,
16,3949,0.1424599140882492,
16,3999,0.3991595506668091,
16,4049,0.22392719984054565,
16,4079,,0.37251102924346924
17,4099,0.49738889932632446,
17,4149,0.441403865814209,
17,4199,0.24699006974697113,
17,4249,0.30000990629196167,
17,4299,0.07388626784086227,
17,4319,,0.17186404764652252
18,4349,0.11128908395767212,
18,4399,0.350632905960083,
18,4449,0.2085224986076355,
18,4499,0.3015424907207489,
18,4549,0.49541789293289185,
18,4559,,0.398506224155426
19,4599,0.5975613594055176,
19,4649,0.5315226912498474,
19,4699,1.9296239614486694,
19,4749,0.3800787329673767,
19,4799,1.3698997497558594,
19,4799,,0.47018760442733765
20,4849,0.19833216071128845,
20,4899,0.26871269941329956,
20,4949,0.22619271278381348,
20,4999,0.833918571472168,
20,5039,,0.34623008966445923
21,5049,0.503273606300354,
21,5099,0.3386809229850769,
21,5149,0.3676837086677551,
21,5199,0.34804636240005493,
21,5249,0.12043976038694382,
21,5279,,0.47275811433792114
22,5299,0.15796422958374023,
22,5349,0.47962841391563416,
22,5399,0.8424050807952881,
22,5449,0.12037326395511627,
22,5499,1.9579463005065918,
22,5519,,0.21297569572925568
