epoch,step,train_loss,val_loss
0,49,0.28065982460975647,
0,99,0.5102491974830627,
0,149,0.39572271704673767,
0,199,0.2369285225868225,
0,239,,0.3780675530433655
1,249,0.22400696575641632,
1,299,0.20163771510124207,
1,349,0.23214685916900635,
1,399,0.19698305428028107,
1,449,0.17818188667297363,
1,479,,0.36320921778678894
2,499,0.33140644431114197,
2,549,0.16163185238838196,
2,599,0.1268860548734665,
2,649,0.49273934960365295,
2,699,0.20972180366516113,
2,719,,0.320730984210968
3,749,0.23297540843486786,
3,799,0.34718501567840576,
3,849,0.2677074372768402,
3,899,0.2707640528678894,
3,949,0.03451202064752579,
3,959,,0.2918761372566223
4,999,1.5975556373596191,
4,1049,0.1587735116481781,
4,1099,0.2062200903892517,
4,1149,0.09659221768379211,
4,1199,0.11840904504060745,
4,1199,,0.2992416322231293
5,1249,0.09679024666547775,
5,1299,0.172166109085083,
5,1349,0.11635881662368774,
5,1399,0.20129276812076569,
5,1439,,0.2811352610588074
6,1449,0.03934600204229355,
6,1499,0.18549907207489014,
6,1549,0.0676354244351387,
6,1599,0.0376749262213707,
6,1649,0.16749899089336395,
6,1679,,0.2562166452407837
7,1699,0.14511941373348236,
7,1749,0.11787097156047821,
7,1799,0.289992094039917,
7,1849,0.11138928681612015,
7,1899,0.09228366613388062,
7,1919,,0.2834232449531555
8,1949,0.20680540800094604,
8,1999,0.1149604469537735,
8,2049,0.14225128293037415,
8,2099,0.14086683094501495,
8,2149,0.11409585177898407,
8,2159,,0.22749297320842743
9,2199,0.059380557388067245,
9,2249,0.6450104117393494,
9,2299,0.14502084255218506,
9,2349,0.09288957715034485,
9,2399,0.019063133746385574,
9,2399,,0.26643291115760803
10,2449,0.15261811017990112,
10,2499,0.05441347137093544,
10,2549,0.11361057311296463,
10,2599,0.27123546600341797,
10,2639,,0.2507292628288269
11,2649,0.16086244583129883,
11,2699,0.11302640289068222,
11,2749,0.10424736142158508,
11,2799,0.12262388318777084,
11,2849,0.15269368886947632,
11,2879,,0.2597786486148834
12,2899,0.13983160257339478,
12,2949,0.1796075850725174,
12,2999,0.160457581281662,
12,3049,0.10116265714168549,
12,3099,0.050300758332014084,
12,3119,,0.277655690908432
13,3149,0.12931562960147858,
13,3199,0.08425433933734894,
13,3249,0.07591774314641953,
13,3299,0.16284418106079102,
13,3349,0.08314050734043121,
13,3359,,0.2513282001018524
